FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients,LATNUM,LONGNUM
962,HAI,9,,7,1,2,2,1,1,0,0,,0,1,0,0,0,0,,6,,19.822115,-72.939508
965,HAI,9,,5,3,2,2,2,1,1,0,0.363636364,0,1,0,1,0,1,30,10,20,19.831482,-72.940442
966,HAI,9,,3,4,2,1,2,1,1,0,0.545454545,0,1,1,1,0,1,20,35,93,20.017928,-72.725802
967,HAI,9,,7,4,2,2,2,0,1,0,0.545454545,1,1,0,1,0,0,2,5,,20.005808,-72.6646
968,HAI,9,,7,1,2,2,1,1,0,1,0.636363636,0,1,0,1,0,0,1,7,,20.033582,-72.868268
969,HAI,9,,7,2,2,2,2,0,1,1,0.636363636,0,1,0,1,0,0,2,11,,20.0325,-72.784435
970,HAI,9,,5,4,2,2,2,1,1,1,,1,1,0,1,0,0,3,8,,20.045093,-72.84004
971,HAI,9,,6,3,2,2,2,1,1,1,0.636363636,1,1,0,1,0,0,3,3,,20.024925,-72.75282
972,HAI,9,,7,4,2,2,2,1,1,0,,0,1,0,0,0,0,1,7,,20.039505,-72.829747
973,HAI,9,,7,1,2,2,1,1,0,0,0.090909091,0,0,0,1,0,0,,9,,19.83213,-72.769315
974,HAI,9,,4,1,2,1,1,0,0,0,0.454545455,0,1,1,1,0,1,20,45,4791,19.782652,-72.796798
975,HAI,9,,7,1,2,2,1,0,1,0,0.272727273,0,0,0,1,0,0,,10,,19.796377,-72.877632
976,HAI,9,,7,1,2,2,1,0,0,0,,0,0,0,1,1,0,,4,,19.742897,-72.875263
977,HAI,9,,5,1,2,2,1,1,1,0,0.545454545,0,1,1,1,1,1,11,40,4,19.882183,-72.834925
979,HAI,9,,7,2,2,2,2,0,1,0,0.454545455,1,0,0,1,0,0,,3,,19.918397,-72.748023
980,HAI,9,,5,1,2,2,1,1,1,1,0.818181818,0,1,1,1,1,1,20,40,756,19.934367,-72.730433
981,HAI,9,,5,3,1,2,2,1,1,0,,0,1,0,1,0,1,5,6,32,19.934603,-72.724838
