FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients
10266,BAN,1,,8,1,2,2,1,0,1,1,,0,1,,,0,0,,5,
10272,BAN,2,,8,1,2,2,1,1,1,0,,0,0,,,0,0,,3,
10273,BAN,2,,8,1,2,2,1,,,,,,,,,,,,,
10276,BAN,2,,5,1,2,2,1,0,1,0,.363636363636364,1,0,,,1,0,,1,
10277,BAN,2,,8,1,2,2,1,1,1,0,,0,1,,,0,0,,3,
10278,BAN,2,,4,1,2,2,1,0,0,0,,0,0,,,0,0,,1,
10281,BAN,2,,8,1,2,2,1,0,1,0,,0,1,,,1,0,,3,
10283,BAN,2,,2,1,2,1,1,1,1,0,.727272727272727,1,1,,,0,0,,10,
10285,BAN,2,,6,1,2,2,1,1,1,0,,0,0,,,0,0,,1,
10287,BAN,2,,8,1,2,2,1,0,1,1,,0,1,,,0,0,,2,
10288,BAN,2,,6,1,2,2,1,1,1,0,.363636363636364,0,1,,,0,0,,3,
10289,BAN,2,,8,1,2,2,1,1,1,0,,1,1,,,0,0,,3,
10290,BAN,2,,4,1,2,2,1,1,1,1,,0,0,,,0,0,,5,
10291,BAN,2,,5,1,2,2,1,1,1,1,.363636363636364,0,0,,,0,0,,1,
10292,BAN,2,,6,1,2,2,1,1,0,1,.272727272727273,0,0,,,0,0,,4,
10293,BAN,2,,8,1,2,2,1,1,1,1,.545454545454545,0,0,,,0,0,,4,
10297,BAN,2,,3,1,2,2,1,1,1,0,.636363636363636,0,1,,,0,0,,1,
10299,BAN,2,,8,1,2,2,1,1,0,0,.272727272727273,0,1,,,0,0,,3,
10301,BAN,2,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,1,
10303,BAN,2,,6,1,2,2,1,1,1,0,,0,1,,,0,0,,1,
10304,BAN,2,,8,1,2,2,1,1,1,0,.454545454545455,0,1,,,0,0,,3,
10306,BAN,2,,8,1,2,2,1,1,1,0,,0,1,,,0,0,,2,
10307,BAN,2,,4,1,2,2,1,0,0,0,.181818181818182,0,1,,,0,0,,2,
10308,BAN,2,,4,1,2,2,1,1,1,1,.727272727272727,0,1,,,0,0,,2,
10310,BAN,2,,6,1,2,2,1,1,1,0,,0,1,,,0,0,,3,
10311,BAN,2,,8,1,2,2,1,1,1,0,.454545454545455,0,1,,,0,0,,3,
10312,BAN,2,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,1,
10313,BAN,2,,8,1,2,2,1,1,0,0,.272727272727273,0,1,,,0,0,,3,
10314,BAN,2,,6,1,2,2,1,,,,,,,,,,,,,
10315,BAN,2,,4,1,2,2,1,1,1,0,.272727272727273,0,0,,,0,0,,2,
10316,BAN,2,,8,1,2,2,1,1,0,0,,0,1,,,0,0,,3,
10317,BAN,2,,9,3,2,2,2,1,0,0,,0,0,,,0,0,,7,
